State Code,State Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Village Code,Village Name,Pincode
30,Goa,552,South Goa,5616,Salcete,626906,Adsulim,403716
30,Goa,552,South Goa,5616,Salcete,626922,Ambelim,403723
30,Goa,552,South Goa,5616,Salcete,626929,Aquem-Baixo,403601
30,Goa,552,South Goa,5616,Salcete,626919,Assolna,403701
30,Goa,552,South Goa,5616,Salcete,626931,Benaulim (Ct),403716
30,Goa,552,South Goa,5616,Salcete,626895,Betalbatim,403713
30,Goa,552,South Goa,5616,Salcete,626891,Calata,403713
30,Goa,552,South Goa,5616,Salcete,626890,Camurlim,403718
30,Goa,552,South Goa,5616,Salcete,626904,Cana,403716
30,Goa,552,South Goa,5616,Salcete,626917,Carmona,403717
30,Goa,552,South Goa,5616,Salcete,626920,Cavelossim,403731
30,Goa,552,South Goa,5616,Salcete,626910,Cavorim,403714
30,Goa,552,South Goa,5616,Salcete,626911,Chandor,403714
30,Goa,552,South Goa,5616,Salcete,626933,Chinchinim (Ct),403715
30,Goa,552,South Goa,5616,Salcete,626897,Colva,403708
30,Goa,552,South Goa,5616,Salcete,926704,Cuncolim,403703
30,Goa,552,South Goa,5616,Salcete,626926,Curtorim (Ct),403709
30,Goa,552,South Goa,5616,Salcete,626928,Davorlim (Ct),403707
30,Goa,552,South Goa,5616,Salcete,626918,Deussua,403715
30,Goa,552,South Goa,5616,Salcete,626909,Dicarpale,403707
30,Goa,552,South Goa,5616,Salcete,626908,Dramapur,403725
30,Goa,552,South Goa,5616,Salcete,626900,Duncolim,403708
30,Goa,552,South Goa,5616,Salcete,626896,Gaundaulim,403708
30,Goa,552,South Goa,5616,Salcete,626894,Gonsua,403713
30,Goa,552,South Goa,5616,Salcete,626903,Guirdolim,403714
30,Goa,552,South Goa,5616,Salcete,626889,Loutulim,403718
30,Goa,552,South Goa,5616,Salcete,626902,Macasana,403709
30,Goa,552,South Goa,5616,Salcete,626892,Majorda,403713
30,Goa,552,South Goa,5616,Salcete,945836,Margao,403601
30,Goa,552,South Goa,5616,Salcete,626913,Mulem,403705
30,Goa,552,South Goa,5616,Salcete,626888,Nagoa,403722
30,Goa,552,South Goa,5616,Salcete,626930,Navelim (Ct),403707
30,Goa,552,South Goa,5616,Salcete,626924,Nuvem (Ct),403713
30,Goa,552,South Goa,5616,Salcete,626916,Orlim,403724
30,Goa,552,South Goa,5616,Salcete,626912,Paroda,403705
30,Goa,552,South Goa,5616,Salcete,626901,Rachol,403719
30,Goa,552,South Goa,5616,Salcete,626925,Raia (Ct),403720
30,Goa,552,South Goa,5616,Salcete,626927,Sao Jose De Areal (Ct),403709
30,Goa,552,South Goa,5616,Salcete,626914,Sarzora,403715
30,Goa,552,South Goa,5616,Salcete,626899,Seraulim,403708
30,Goa,552,South Goa,5616,Salcete,626905,Sernabatim,403708
