District Code,District Name (in English),District Census Code 2011,District Census Code 2001,Sub District Code,Sub District Name (in English),Sub District Census Code 2011,Sub District Census Code 2001,Village Code,Village Name (in English),Village Census Code 2011,Village Census Code 2001,Local Body Code,Local Body Name (in English),State Code,State Name
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626765,Podocem,626765,10800.0,254477,Poriem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626826,Ponocem,626826,17000.0,254474,Pissurlem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626772,Ponsuli,626772,11500.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626766,Poriem,626766,10900.0,254477,Poriem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626771,Quelaudem,626771,11400.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626785,Querim,626785,12800.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626767,Ravona,626767,11000.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626781,Rivem,626781,12400.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626787,Saleli,626787,13100.0,254421,Honda,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626824,Sanvorcem,626824,16800.0,254375,Birondem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626816,Sanvordem,626816,16000.0,254492,Sanvordem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626805,Satorem,626805,14900.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626778,Satrem,626778,12100.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626795,Sigonem,626795,13900.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626834,Siranguli,626834,17800.0,254401,Cotodem,30,Goa
