S.No.,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Ward Code,Ward Name,Urban Localbody Code,Urban Localbody Name,Localbody Type,State Code
166,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37752,Pernem (M Cl) - Ward No.3,252057,Pernem,Municipality,30
167,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37755,Pernem (M Cl) - Ward No.6,252057,Pernem,Municipality,30
168,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37758,Pernem (M Cl) - Ward No.9,252057,Pernem,Municipality,30
169,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37756,Pernem (M Cl) - Ward No.7,252057,Pernem,Municipality,30
170,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37759,Pernem (M Cl) - Ward No.10,252057,Pernem,Municipality,30
171,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37753,Pernem (M Cl) - Ward No.4,252057,Pernem,Municipality,30
172,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37752,Pernem (M Cl) - Ward No.3,252057,Pernem,Municipality,30
173,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37756,Pernem (M Cl) - Ward No.7,252057,Pernem,Municipality,30
174,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37751,Pernem (M Cl) - Ward No.2,252057,Pernem,Municipality,30
175,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37754,Pernem (M Cl) - Ward No.5,252057,Pernem,Municipality,30
